"country","y","x1","x2","x3","x4","x21","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
"Denmark",8.077,6.022,1.379,0.743,0.942,80.99,18.79369926,12.86071014,57549.14584,0.983,0.887,5.838641189,3.532225609,2.90482,10.88624,0.022,4,2.495,93.76072693,0.787,16.45435244,25.98
"Dominican Republic",3.641,2.392,0.849,0.683,0.764,73.2323,14.34401997,9.106114462,16958.43305,1.009,0.605,20.81151832,18.23925781,15.82689,27.802282,0.451,95,83.874,74.07970672,0.717,6.151832461,9.45
"Ecuador",4.271,2.248,1.56,1.173,0.762,77.0938,14.83316994,8.782986323,11242.31215,0.965,0.62,18.6351706,9.583942413,13.89605,30.623973,0.375,59,71.383,52.66255061,0.722,5.249343832,7.86
"Egypt",3.324,2.351,0.68,0.873,0.729,71.3669,13.60529995,9.305633501,11079.03334,0.905,0.515,29.35528121,11.7730217,36.94291,36.503,0.456,37,49.099,77.43563226,0.69,5.349794239,7.94
"El Salvador",1.885,1.021,0.558,0.761,0.68,72.5546,12.71449047,6.968569994,8136.126957,0.981,0.549,19.26470588,10.84712315,23.7938081,22.43198,0.37,46,58.197,41.46834564,0.656,3.529411765,5.93
"Estonia",13.637,13.565,0.84,2.193,0.891,78.1395,15.91049004,13.65631008,34552.40442,1.025,0.831,6.734006734,3.26402092,2.28057,14.34588,0.103,9,9.404,96.59082413,0.65,27.04826038,36.99
"Ethiopia",1.336,0.142,0.751,0.461,0.489,65.4117,9.462476818,3.028058847,2093.520321,0.912,0.35,28.42535787,25.18552208,43.50563,13.3515,0.525,401,71.267,8.950111071,0.487,0.408997955,0.5
"Finland",10.061,8.303,0.861,1.558,0.936,81.6266,19.47599983,12.80649996,48369.87096,0.989,0.887,5.235042735,2.980477333,2.23918,10.33787,0.037,3,4.328,98.5380104,0.715,23.61111111,37.83
"France",6.577,5.018,0.942,1.081,0.901,82.5909,15.74300957,11.50988007,46162.6579,0.99,0.82,8.990011099,3.970052719,9.48623,13.36567,0.078,8,8.166,82.71476746,0.795,11.76470588,17.61
"Gabon",5.652,2.734,2.463,0.476,0.706,66.3064,12.9,9.322,13359.91549,0.906,0.552,21.81303116,20.97581291,23.47992,21.2138981,0.549,252,97.637,65.8276916,0.663,6.090651558,9.67
"Gambia",0.871,0.243,0.462,0.607,0.495,63.04,9.108462368,4.332817146,2120.010674,0.924,0.34,31.31313131,25.26255226,47.65805,17.46726,0.607,597,67.16,27.15043749,0.486,1.818181818,3.59
"Georgia",4.544,2.667,1.397,1.24,0.804,73.3414,15.2750597,12.84828997,13697.40109,0.987,0.707,12.06467662,6.981446743,2.784805013,24.85,0.298,25,34.66,97.18667984,0.744,7.462686567,12.19
"Germany",9.662,9.101,0.601,0.976,0.945,81.1717,16.93209076,14.07738018,54981.27749,0.974,0.874,7.513227513,3.490633965,2.7227,15.73535,0.083,7,8.004,96.12117004,0.794,15.97883598,20.23
"Ghana",1.161,0.554,0.344,0.789,0.62,64.122,11.48332977,8.193073801,5071.995858,0.935,0.446,28.06451613,24.41152191,35.10167,24.14249,0.539,308,67.225,56.86027449,0.606,2.258064516,3.84
"Greece",7.905,6.751,0.881,1.275,0.886,81.3907,19.50020027,10.83141518,28566.21672,0.969,0.789,10.94808126,3.531682968,11.06794,17.44667,0.127,3,8.245,65.68370056,0.78,11.96388262,14.94
"Guatemala",2.004,1.109,0.604,0.762,0.64,72.7257,10.61000776,5.712438107,8289.389866,0.925,0.467,27.03125,15.37364292,34.95493,29.56,0.517,95,76.279,28.32662614,0.614,4.0625,7.07
"Guinea",2.12,0.294,1.228,0.74,0.462,59.3491,9.640652849,2.129199982,2409.63997,0.846,0.294,36.36363636,36.94997406,50.12411,17.83777,0.611,576,122.086,6.832749844,0.452,2.164502165,4.37
"Haiti",0.944,0.306,0.476,0.783,0.541,64.0188,9.5,5.478,3174.807694,0.898,0.329,39.18669131,27.62634659,37.33677,50.43867,0.636,480,54.556,27.58,0.534,1.293900185,2.45
"Honduras",2.263,1.007,0.793,1.237,0.617,72.8141,9.838728904,6.287879944,5248.923663,0.986,0.47,23.82495948,10.73721886,22.44937,36.194995,0.426,65,74.666,32.32860947,0.595,3.565640194,6.18
"Hungary",6.241,5.059,0.722,1.084,0.849,76.2039,15.12946033,12.06949997,29638.3262,0.986,0.789,7.067137809,3.831593037,3.11063,13.93919,0.229,12,22.762,96.93900681,0.759,10.60070671,14.75
"Iceland",8.245,10.367,1.53,4.339,0.959,82.7703,19.17563057,13.59160824,56492.26004,0.98,0.913,4.796663191,2.446269512,2.20077,9.51407,0.053,4,5.699,99.09600285,0.58,39.52033368,67.8
"India",2.475,1.9,0.48,1.048,0.645,70.7095,11.81347513,6.55361925,6449.18609,0.849,0.476,26.20155039,18.83567047,38.66773,19.369,0.505,133,19.275,40.27863405,0.621,3.720930233,5.11
"Indonesia",3.587,2.26,1.225,0.74,0.71,70.3375,13.60698032,8.162039757,11030.26908,0.936,0.587,17.32394366,14.44902802,17.25001669,20.11727,0.453,177,35.293,46.84225845,0.676,4.788732394,6.66
"Iraq",7.478,5.258,3.208,1.239,0.692,71.5143,11.95379925,7.88291085,10465.09393,0.801,0.557,19.50867052,15.08621883,29.74591,12.67895,0.569,79,66.424,41.23200506,0.63,8.959537572,10.54
"Ireland",13.176,8.07,3.192,0.594,0.937,82.0863,19.75616074,11.50796839,64098.84282,0.978,0.87,7.150480256,3.038282633,3.28604,14.70554,0.084,5,6.37,87.67189212,0.719,23.26574173,37.25
"Israel",10.024,7.126,1.135,1.046,0.919,82.8232,16.1252594,13.24765522,39620.10088,0.98,0.815,11.31664853,3.335021019,6.272,23.134,0.089,3,8.086,90.62252336,0.743,19.15125136,29.83
"Italy",6.647,5.829,0.745,0.892,0.893,83.1847,16.17503929,10.56645012,42450.93247,0.967,0.787,11.87010078,3.049903393,10.60056,21.17692,0.057,2,4.133,76.91400146,0.804,9.966405375,12.33
"Jamaica",3.613,2.876,0.281,1.785,0.716,71.793,13.332418,9.062015112,9365.908524,0.993,0.596,16.75977654,9.303999901,6.51579,31.96616,0.366,80,35.232,73.83954626,0.67,6.424581006,9.56
"Japan",9.539,9.056,0.221,1.082,0.923,84.2971,15.1905,13.34510708,43086.85266,0.97,0.847,8.234019502,2.70894289,4.511,16.662889,0.087,5,2.992,95.52,0.781,15.38461538,18.89
"Jordan",3.462,2.386,0.627,1.124,0.723,75.7743,10.41676998,10.3508997,9967.349228,0.89,0.618,14.52282158,10.00807953,15.44186,17.91185,0.449,46,27.314,77.87029266,0.684,5.394190871,7.56
"Kazakhstan",15.025,17.899,2.671,1.836,0.814,71.4717,15.44011021,12.21006966,22171.8375,1,0.757,7.002457002,7.66428709,3.16666,10.33987,0.173,10,23.582,99.291008,0.587,27.88697789,32.72
"Kenya",1.375,0.364,0.641,0.595,0.577,62.6765,10.65468781,6.564,4273.498235,0.938,0.426,26.16984402,22.03370667,22.89552,33.14821,0.514,342,71.298,30.45784924,0.563,2.426343154,4.62
"Kyrgyzstan",2.902,1.784,0.758,2.46,0.698,70.728,12.96755981,11.36813177,4978.956446,0.959,0.63,9.742120344,11.71404839,3.36425,13.83059,0.381,60,38.73,100,0.659,5.58739255,8.98
"Latvia",6.138,4.06,1.033,0.93,0.866,75.0012,16.23089027,13.18325043,29894.57755,1.03,0.787,9.122401848,4.306402683,2.53011,19.33165,0.155,19,12.499,99.60873439,0.713,17.66743649,31.52
"Liberia",0.423,0.221,0.072,1.394,0.483,60.8532,10.27304866,4.944,1406.047065,0.866,0.324,32.91925466,31.93702888,42.87091,22.72204,0.645,661,131.507,20.02,0.476,1.449275362,2.77
